用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
jvantuyl,"San Francisco, California, USA",62,15,0,548,130,2,1,2,6
BrianTheCoder,"Santa Monica,CA",96,32,0,183,42,0,0,0,0
freeformz,"PDX Area, OR",228,39,0,25471,2474,0,0,2,9
hassox,Austin,355,77,2,14874,2004,2,0,0,2
automatthew,,77,16,1,522,96,0,0,0,0
queso,"Cincinnati, Oh",346,23,1,341,100,0,0,0,0
lancecarlson,"Ann Arbor, MI",134,103,2,973,269,0,0,0,9
drnic,"Brisbane, Australia",1789,12,1,9118,1997,57,6,7,14
lukesutton,South Australia,56,4,0,315,23,0,0,0,2
danwrong,London,357,31,0,2774,540,0,0,0,0
HamptonMakes,"New York, NY",677,6,3,4564,705,6,3,4,9
jfrost,,24,1,0,543,23,0,0,0,0
mattetti,"Los Angeles, CA",1082,10,3,6918,1163,10,5,1,7
ctennis,"Indiana, USA",30,0,0,36,23,1,0,0,2
lawrencepit,,38,6,0,201,121,0,0,0,0
marcjeanson,Earth,48,22,0,46,8,0,0,0,0
grempe,"Virginia, US",133,27,0,1592,349,0,0,0,0
peterc,United Kingdom,683,62,0,2533,313,0,0,0,9
ministrycentered,"Carlsbad, CA",14,0,0,99,11,0,0,0,0
afarnham,"Houston, TX",38,20,0,7,6,0,0,0,1
up_the_irons,Los Angeles,45,8,2,172,89,43,0,0,5
cristibalan,Everywhere,96,33,1,1083,97,0,0,0,0
heavysixer,Kansas City,107,39,1,736,149,0,0,2,1
brosner,"Denver, CO",976,111,2,4813,2118,0,0,0,0
danielmorrison,"Holland, MI",125,19,2,3863,306,30,16,1,13
danielharan,"Montreal, QC, Canada",96,35,0,1381,302,0,0,0,0
kvnsmth,,119,0,0,926,149,0,0,0,0
collectiveidea,United States of America,50,0,0,18089,3687,27,45,5,15
canadaduane,"Salt Lake City, UT, USA",182,22,3,1657,365,20,7,17,33
corasaurus-hex,"Milwaukee, WI",110,3,0,1623,117,48,5,6,73
dstrelau,"Minneapolis, MN",78,43,1,608,71,3,2,0,7
sunny,"Paris, France",346,138,4,1477,221,52,24,5,18
dkubb,"Mission, BC, Canada",552,12,1,8887,717,0,0,0,1
jnicklas,"Gothenburg, Sweden",856,8,2,22209,2650,9,9,0,1
richcollins,San Francisco,60,4,1,3016,340,1,0,0,1
simonjefford,"Oxford, UK",38,3,0,155,44,7,0,0,4
josh,"San Francisco, CA",2471,250,0,2841,220,180,26,41,34
stevedekorte,Latent Space,674,17,1,4214,492,149,0,0,2
leahneukirchen,"Munich, Germany",1287,9,2,7831,775,147,70,9,16
jwreagor,"New Gillington, WI",54,8,0,167,21,0,0,0,0
technomancy,USA,2119,0,2,18020,3593,30,3,10,10
kenphused,"Orlando, FL",13,0,0,0,0,0,0,0,0
rubyist,GA,394,0,1,1543,192,0,0,0,0
ogc,"Nashville, TN",8,0,0,3,1,0,0,0,0
lazyatom,"London, UK",216,18,0,544,124,1,3,0,6
jdhuntington,"Redmond, WA",63,22,3,114,38,26,2,5,5
sevenwire,"Costa Mesa, CA",8,0,0,864,149,0,0,0,1
brandonarbini,"Costa Mesa, CA",31,5,2,14,1,0,0,0,0
al3x,"Portland, Oregon, USA",1058,53,0,828,172,0,0,0,0
toolmantim,"Melbourne, Australia",462,66,3,5200,502,4,1,0,2
nicksieger,"Minneapolis, MN, USA",288,21,6,963,157,7,2,0,16
jicksta,"Austin, TX",101,12,1,544,128,0,0,0,0
joshsusser,"San Francisco, CA",292,11,1,478,61,0,0,0,0
jcrosby,,194,19,1,1512,222,0,0,0,0
thewoolleyman,"San Francisco, CA",138,49,4,761,174,1,0,0,1
technicalpickles,"Atlanta, GA",1004,191,2,6143,887,28,3,8,35
halbtuerke,,62,34,0,77,10,0,0,0,13
ryanb,Southern Oregon,7717,96,2,26619,5136,2,0,8,11
cnix,"Ivor, VA",38,19,0,28,6,3,0,0,1
tpitale,"Saint Louis, MO",132,71,2,1772,249,11,6,1,4
cdcarter,,44,15,0,113,41,0,0,0,0
atduskgreg,"Los Angeles, CA",707,39,0,4205,1135,0,0,0,0
heff,San Francisco,403,12,7,11750,1436,22,15,18,7
entryway,"floyd, virginia",7,0,0,11,2,0,0,0,0
aflatter,"Hamburg, Germany",88,39,3,726,193,0,0,0,1
schofield,North Bay,22,0,0,22,5,0,0,0,1
rbazinet,"Woodstock, CT",53,137,1,33,10,0,0,0,0
tranqy,"Vernon, CT",31,12,1,29,4,0,0,0,37
robey,"San José, CA",548,17,0,1019,292,1,2,2,6
bkeepers,Sailing,2028,61,2,17780,2156,48,33,2,19
wilson,"New York, NY",87,7,1,440,85,0,0,0,0
tommorris,London,231,70,4,402,246,7,1,0,2
charlesroper,UK,53,51,1,998,176,5,3,1,12
adamwiggins,Berlin,1000,16,0,48443,4819,0,0,0,0
myobie,"Berlin, Germany",218,48,1,1759,282,10,0,0,6
samgranieri,,50,111,1,72,20,1,0,0,37
adam,Houston TX,0,0,0,23,6,0,0,0,0
mtodd,"Philadelphia, PA",862,502,3,771,243,0,0,0,5
timcharper,Utah,282,37,1,2785,802,2,1,0,5
paul,"Boulder, CO",131,3,1,982,101,21,2,0,9
DocSavage,"Ashburn, VA",110,20,1,630,154,17,1,0,20
shane,"Chicago, IL",10,1,0,143,5,0,0,0,0
vlucas,"Oklahoma City, OK",855,35,3,18111,1425,22,9,3,11
nex3,Seattle,2244,0,2,10869,1970,88,42,13,22
norbauer,"Boston, Massachusetts, USA",32,0,0,155,32,0,0,0,0
crigor,,47,0,0,79,41,0,0,0,0
knowtheory,Bay Area,216,87,3,57011,11406,1,1,0,4
bernerdschaefer,"Portland, OR",133,0,0,10593,1567,0,0,0,0
zapnap,,220,53,2,2218,618,1,1,0,2
galinv,,7,0,0,0,0,0,0,0,0
NZKoz,"Wellington, New Zealand",390,0,1,775,2343,0,0,0,0
croaky,,420,349,0,421,49,47,15,0,4
jeremy,"San Diego, CA",1482,128,6,5239,1201,48,31,16,36
ELLIOTTCABLE,"Chicago, IL",444,826,3,2559,260,9,1,1,8
monde,,106,34,1,2008,1349,27,38,9,12
ryanbriones,"Seattle, WA",138,33,2,243,85,0,0,0,0
